Date,Trend
1/1/2020,25
2/1/2020,26
3/1/2020,27
4/1/2020,27
5/1/2020,27
6/1/2020,29
7/1/2020,36
8/1/2020,40
9/1/2020,33
10/1/2020,31
11/1/2020,29
12/1/2020,27
13/1/2020,27
14/1/2020,39
15/1/2020,37
16/1/2020,33
17/1/2020,33
18/1/2020,31
19/1/2020,34
20/1/2020,31
21/1/2020,31
22/1/2020,28
23/1/2020,29
24/1/2020,29
25/1/2020,24
26/1/2020,23
27/1/2020,29
28/1/2020,32
29/1/2020,34
30/1/2020,34
31/1/2020,33
1/2/2020,29
2/2/2020,29
3/2/2020,30
4/2/2020,32
5/2/2020,33
6/2/2020,35
7/2/2020,34
8/2/2020,30
9/2/2020,42
10/2/2020,35
11/2/2020,38
12/2/2020,41
13/2/2020,40
14/2/2020,33
15/2/2020,33
16/2/2020,30
17/2/2020,33
18/2/2020,32
19/2/2020,35
20/2/2020,34
21/2/2020,30
22/2/2020,28
23/2/2020,29
24/2/2020,35
25/2/2020,34
26/2/2020,37
27/2/2020,37
28/2/2020,37
29/2/2020,30
1/3/2020,29
2/3/2020,31
3/3/2020,31
4/3/2020,31
5/3/2020,32
6/3/2020,33
7/3/2020,30
8/3/2020,29
9/3/2020,53
10/3/2020,40
11/3/2020,35
12/3/2020,75
13/3/2020,100
14/3/2020,66
15/3/2020,55
16/3/2020,73
17/3/2020,58
18/3/2020,55
19/3/2020,61
20/3/2020,57
21/3/2020,50
22/3/2020,44
23/3/2020,47
24/3/2020,49
25/3/2020,44
26/3/2020,40
27/3/2020,37
28/3/2020,40
29/3/2020,39
30/3/2020,38
31/3/2020,36
1/4/2020,37
2/4/2020,40
3/4/2020,38
4/4/2020,34
5/4/2020,34
6/4/2020,41
7/4/2020,42
8/4/2020,39
9/4/2020,38
10/4/2020,39
11/4/2020,37
12/4/2020,36
13/4/2020,37
14/4/2020,38
15/4/2020,36
16/4/2020,38
18/4/2020,34
19/4/2020,34
20/4/2020,35
21/4/2020,35
22/4/2020,33
23/4/2020,39
